,p0_growth,log_inc_t_1,gini_t_1,life_exp,pop_growth_pwt,priv_credit,inflation,budget,trade_openness,fin_openness,homic,conflict,civ_lib,agriculture,prim_school,sec_school,infrastructure
514,-0.013125,4.60192,0.392335,60.2255,0.03259,0.24739299999999997,0.077962,0.02,0.09160399999999999,0.16480899999999998,0.114,0.0,10.4,-0.00797414,0.846748,0.20444,0.620423
515,-0.009000000000000001,4.62632,0.387133,60.9153,0.028522000000000002,0.22846799999999998,0.095985,0.02,0.398866,0.16480899999999998,0.114,0.0,9.8,-0.08591477,0.918625,0.218507,0.90733
516,-0.0081,4.81039,0.368704,62.2581,0.027093,0.236125,0.045857999999999996,0.02,0.49278900000000003,0.16480899999999998,0.114,0.28571429,11.0,-0.03211281,0.9522930000000001,0.23942,1.1230200000000001
517,0.00022,6.56539,0.365816,73.0202,0.004109000000000001,0.845216,0.023086000000000002,0.00304833,0.39678800000000003,0.89899667,0.027999999999999997,0.0,3.0,-0.03452954,1.03235,0.8948969999999999,1.86746
518,-0.00172,6.64952,0.4627,69.3972,0.021606999999999998,0.132941,0.57304,-0.09666667,-0.687551,0.15429849999999998,0.169194,0.0,7.66667,-0.03834428,1.1308799999999999,0.548842,0.068561
519,0.00886667,6.610580000000001,0.461108,70.9935,0.020692,0.204933,0.197186,-0.0175,-0.547814,0.3304,0.169194,0.0,7.75,-0.0494906,1.10618,0.52579,0.167046
520,-0.00575,6.677630000000001,0.471368,71.9758,0.01994,0.281109,0.186194,0.00666667,-0.743797,0.60226167,0.169194,0.33333333,8.0,-0.22025943,1.0976,0.531004,0.26921300000000004
521,0.02755,6.7062100000000004,0.476365,72.7342,0.018983,0.23665,0.265509,0.0,-0.41339499999999996,0.69699,0.161867,0.66666667,7.33333,0.04628933,1.0926,0.568866,0.366464
522,0.001,6.67126,0.475445,73.4291,0.017938,0.19253,0.152281,-0.02341667,-0.22614299999999998,0.69699,0.145772,0.33333333,7.0,-0.05758743,1.07904,0.6221800000000001,0.405127
523,-0.01645,6.755610000000001,0.479447,74.0301,0.015941999999999998,0.17471199999999998,0.132639,-0.02721,-0.197857,0.69699,0.12304000000000001,0.0,5.66667,-0.08689953,1.06579,0.676007,0.548862
524,-0.01095,6.802110000000001,0.474563,74.52600000000001,0.013466999999999998,0.148398,0.053520000000000005,-0.00910333,-0.233279,0.61432467,0.09966699999999999,0.0,4.33333,0.00577786,1.05856,0.717309,0.7442340000000001
525,-0.01995,6.77208,0.46842799999999996,74.9326,0.012692,0.154066,0.06888899999999999,0.00763,-0.20825,0.53165933,0.092,0.0,4.0,-0.00016919,1.04931,0.765566,0.8859440000000001
526,0.0384,6.799910000000001,0.461442,75.1988,0.013763,0.156127,0.052679,0.00296,-0.149114,0.69699,0.08800000000000001,0.0,4.5,-0.059049199999999996,1.0356100000000001,0.788924,0.964541
527,-0.0537,6.809019999999999,0.46246000000000004,75.3605,0.014898,0.178082,0.059993,-0.004175,-0.12883699999999998,0.69699,0.092,0.0,5.0,-0.05331944,1.0238200000000002,0.800709,1.0006899999999999
